ZIP,Total_Population,PM25,PM25_Pctl,Asthma,Asthma_Pctl,Cardiovascular_Disease,Cardiovascular_Disease_Pctl,Deaths_By_Stroke,Stroke_Pctl,Heart_Disease,Heart_Disease_Pctl
91910,4232.65,11.46,69,52.75,59.57,7.47,43.57,41,99.36,124,97.14
91911,4786.73,11.94,75.57,67.1,75.97,8.66,59.09,40,99.13,141,98.72
91913,10206.25,12.68,88.44,20.28,9.33,3.77,3.87,6,34.89,28,38.73
91914,7922,13.73,94.67,21.17,9.43,5.27,15.14,6,34.89,16,25.47
91915,11254.67,14.15,94.87,25.28,16.52,5.45,17.65,4,27.13,8,16.69
91916,2122,11.01,54.57,51.18,57.72,8.74,60.03,1,13.11,4,9.98
91932,4378.33,12.68,88.18,73.11,80.6,7.4,42.48,9,46.16,42,52.83
91935,6319.33,13.45,91.21,13.7,2.44,4.47,8.75,5,30.78,13,22.65
91941,4354.78,11.21,66.23,33.85,31.41,4.69,10.63,23,86.81,56,65.18
91942,4712.38,10.95,58.89,62.63,69.97,8.16,52.18,29,94.27,94,90.09
91945,4340.5,11.21,66.23,59.1,67.45,6.88,35.57,16,71.48,57,66.28
91950,4428.14,11.24,66.44,67.44,73.35,9.02,62.39,42,99.51,109,94.2
91977,4213.83,11.6,71.3,65.62,73.86,6.74,33.88,26,91.26,138,98.57
91978,4117,11.63,69.14,29.14,23.66,5.18,14.35,4,27.13,17,26.71
92003,4564,8.7,30.7,35.77,34.9,6.17,25.96,4,27.13,10,19.82
92004,4440,7.11,10.77,16.49,4.46,6.31,27.69,1,13.11,10,19.82
