ZIP,Total_Population,PM2.5,PM2.5_Pctl,Asthma,Asthma_Pctl,Cardiovascular_Disease,Cardiovascular_Disease_Pctl,Deaths_By_Stroke,Stroke_Pctl,Heart_Disease,Heart_Disease_Pctl
91390,3242.78,8.7,28.54,18.0,7.49,8.1,51.55,6.0,34.89,25.0,35.8
91401,3779.3,11.34,67.1,54.22,61.08,12.71,88.72,14.0,65.0,64.0,71.55
91402,3955.22,11.21,66.23,84.13,85.22,9.34,65.7,23.0,86.81,69.0,75.77
91403,3888.6,11.21,66.23,31.12,27.28,10.32,70.63,11.0,54.3,44.0,54.79
91405,4233.17,11.21,66.23,82.41,81.67,12.03,84.49,10.0,50.41,78.0,82.1
91406,3360.18,10.77,57.28,63.17,69.27,9.02,61.44,8.0,42.65,80.0,83.35
91411,3977.17,11.21,66.23,52.79,58.2,9.85,67.81,11.0,54.3,38.0,47.78
91423,3750.0,11.52,69.61,25.63,18.24,8.1,51.95,6.0,34.89,54.0,63.49
91436,4641.5,11.0,60.36,21.11,10.34,5.68,21.08,1.0,13.11,38.0,47.78
91501,5433.33,12.05,81.66,31.16,26.85,6.06,26.99,12.0,57.61,32.0,42.28
91502,4285.0,12.13,82.13,34.44,32.27,6.28,28.3,5.0,30.78,22.0,32.67
91504,3588.4,12.05,81.66,36.68,36.36,6.4,29.13,9.0,46.16,65.0,72.49
91505,3498.67,12.05,81.66,32.95,32.98,5.67,26.48,9.0,46.16,67.0,74.27
91506,5972.0,12.19,82.44,41.94,44.76,6.31,27.86,13.0,61.23,38.0,47.78
91601,3628.9,12.05,81.66,50.91,57.08,8.01,50.6,12.0,57.61,38.0,47.78
91602,3741.17,12.05,81.66,32.7,29.46,6.04,24.58,3.0,23.66,27.0,37.72
91604,4500.0,12.05,81.66,22.26,11.93,6.62,32.74,13.0,61.23,50.0,60.51
91605,3977.46,11.92,78.55,66.7,74.12,11.56,83.58,21.0,82.86,91.0,89.07
91606,3714.25,12.02,80.62,56.51,63.2,10.36,73.07,23.0,86.81,80.0,83.35
91607,3793.67,12.05,81.66,36.52,36.07,7.6,45.0,13.0,61.23,65.0,72.49
91608,0.0,12.05,81.66,0.0,0.0,0.0,0.0,0.0,4.82,1.0,4.33
91701,5046.0,12.78,90.66,28.39,22.2,8.33,54.52,21.0,82.86,93.0,89.79
91702,4118.62,11.18,65.33,61.42,69.6,8.56,57.4,8.0,42.65,68.0,74.94
91706,4466.35,11.23,66.4,57.45,65.33,9.79,70.13,26.0,91.26,85.0,85.8
91708,7571.0,13.1,93.26,22.84,12.29,6.44,29.42,1.0,13.11,3.0,8.21
91709,6215.18,12.7,88.84,26.07,17.95,7.95,49.8,16.0,71.48,63.0,70.8
91710,5515.62,12.89,92.89,46.88,51.55,11.67,83.77,32.0,96.31,117.0,96.19
91711,4670.12,12.26,83.12,34.8,33.24,7.67,46.12,22.0,84.82,91.0,89.07
91722,4604.75,11.21,66.23,41.48,43.83,7.55,44.32,12.0,57.61,50.0,60.51
91723,4881.67,11.21,66.23,50.0,54.51,7.27,40.99,10.0,50.41,39.0,49.36
91724,4905.86,11.33,67.06,44.28,47.01,7.41,43.34,12.0,57.61,42.0,52.83
91730,5531.17,12.89,92.89,42.57,45.15,10.37,74.24,17.0,74.04,92.0,89.45
91731,4518.12,11.32,66.96,44.57,48.42,7.53,44.05,8.0,42.65,40.0,50.6
91732,4616.31,11.53,71.43,59.02,66.57,7.61,45.39,14.0,65.0,63.0,70.8
91733,3804.0,12.01,80.41,52.59,59.6,8.49,56.99,12.0,57.61,64.0,71.55
91737,5308.33,12.61,86.96,27.53,20.52,8.48,56.82,3.0,23.66,27.0,37.72
91739,8501.8,12.89,91.26,26.06,18.88,7.8,48.09,11.0,54.3,30.0,40.73
91740,4381.0,11.21,66.23,48.66,54.52,7.49,43.92,15.0,68.43,71.0,77.69
91741,3621.38,11.0,61.59,36.61,35.67,7.07,38.24,10.0,50.41,40.0,50.6
91744,4935.75,11.32,66.96,61.43,69.42,9.65,69.21,26.0,91.26,119.0,96.57
91745,3971.79,12.02,80.77,45.61,50.29,9.61,70.39,23.0,86.81,95.0,90.35
91746,4662.62,11.68,73.11,45.67,50.02,8.51,56.95,9.0,46.16,34.0,44.08
91748,4292.18,11.52,68.35,28.9,23.18,6.28,27.73,15.0,68.43,54.0,63.49
91750,4724.14,11.51,68.42,33.31,30.73,7.49,43.63,17.0,74.04,79.0,82.78
91752,5286.57,14.21,94.97,38.34,38.69,10.63,76.29,5.0,30.78,46.0,56.59
91754,3615.56,12.1,81.92,32.59,29.49,5.68,20.06,31.0,95.78,64.0,71.55
91755,4956.17,11.98,79.57,23.08,12.71,4.15,5.77,15.0,68.43,64.0,71.55
91761,5035.62,13.18,93.45,46.92,51.66,12.78,89.39,13.0,61.23,57.0,66.28
91762,4867.0,12.89,92.89,62.69,71.05,11.57,84.04,16.0,71.48,90.0,88.58
91763,5499.88,12.89,92.89,65.0,72.48,11.22,80.2,8.0,42.65,57.0,66.28
91764,4831.09,12.93,92.96,66.16,73.2,10.57,76.71,17.0,74.04,47.0,57.54
91765,5057.0,12.05,80.53,22.73,12.41,7.07,38.51,13.0,61.23,66.0,73.47
91766,5253.23,12.79,90.84,66.35,74.48,9.7,70.23,22.0,84.82,62.0,70.12
91767,5018.56,12.7,89.66,68.31,74.9,8.26,53.44,16.0,71.48,84.0,85.23
91768,3931.22,12.28,83.68,69.03,75.86,8.21,53.23,12.0,57.61,38.0,47.78
91770,4357.79,11.66,73.47,35.05,33.47,6.16,26.28,25.0,89.9,74.0,79.65
